ID-Vehiculo,Tipo Vehiculo,Distancia Recorrida,Duracion Recorrida,Carga Total,Costo Distancia,Costo Duracion,Costo Mantenimiento,Costo Carga,Costo Fuel,Costo Recharge,Costo Total
0,Gas Car,6.7118,11.760000000000002,15.0,33559.0,5880.0,30000.0,1500.0,10738.880000000001,3355.8999999999996,85033.78
1,Gas Car,5.7917000000000005,9.436666666666667,18.0,28958.5,4718.333333333334,30000.0,1800.0,9266.720000000001,2895.85,77639.40333333335
2,Gas Car,5.6052,9.041666666666668,12.0,28026.0,4520.833333333334,30000.0,1200.0,8968.32,2802.6000000000004,75517.75333333334
3,Gas Car,5.504,13.236666666666666,20.0,27520.0,6618.333333333334,30000.0,2000.0,8806.4,2752.0000000000005,77696.73333333334
4,EV,17.437,27.398333333333333,36.0,69748.0,13699.166666666668,21000.0,3600.0,0.0,0.0,108047.16666666667
5,EV,8.9662,16.171666666666667,45.0,35864.8,8085.833333333334,21000.0,4500.0,0.0,0.0,69450.63333333333
6,EV,23.5572,36.711666666666666,42.0,94228.79999999999,18355.833333333332,21000.0,4200.0,0.0,0.0,137784.6333333333
7,EV,8.877600000000001,20.886666666666667,29.0,35510.399999999994,10443.333333333336,21000.0,2900.0,0.0,0.0,69853.73333333334
8,EV,17.7686,27.500000000000004,57.0,71074.4,13750.0,21000.0,5700.0,0.0,0.0,111524.4
9,Gas Car,2.6995,5.178333333333334,10.0,13497.5,2589.166666666667,30000.0,1000.0,4319.200000000001,1349.75,52755.61666666667
10,EV,29.203899999999997,46.36333333333334,82.0,116815.59999999999,23181.666666666668,21000.0,8200.0,0.0,0.0,169197.26666666666
11,Gas Car,1.3408,3.841666666666667,11.0,6704.0,1920.8333333333335,30000.0,1100.0,2145.28,670.4000000000001,42540.513333333336
